,Roseburia intestinalis,Phocaeicola vulgatus,Bacteroides uniformis,[Ruminococcus] gnavus,Escherichia coli,Enterocloster clostridioformis,Parabacteroides distasonis,Flavonifractor plautii,Bifidobacterium pseudocatenulatum,Erysipelatoclostridium ramosum,Veillonella atypica,[Clostridium] innocuum,Hungatella hathewayi,Veillonella dispar,Haemophilus sp. HMSC71H05,Veillonella infantium,Bifidobacterium bifidum,Bifidobacterium longum,Haemophilus parainfluenzae,Veillonella parvula,Gordonibacter pamelaeae,Intestinibacter bartlettii,Clostridium neonatale,Bifidobacterium breve,Veillonella sp. T11011-6,Anaerotruncus colihominis,Streptococcus thermophilus,Bifidobacterium dentium,Enterococcus faecium,Tyzzerella nexilis,Megasphaera micronuciformis,Campylobacter concisus,Phocaeicola dorei,Bacteroides faecis,Bifidobacterium adolescentis,Dorea formicigenerans,Coprococcus comes,Collinsella aerofaciens,Parabacteroides merdae,Faecalitalea cylindroides,Bacteroides ovatus,[Ruminococcus] torques,Lacticaseibacillus rhamnosus,Phascolarctobacterium faecium,Bacteroides salyersiae,Blautia wexlerae,Bacteroides caccae,Alistipes putredinis,[Eubacterium] rectale,Eggerthella lenta,Bacteroides fragilis,Eubacterium limosum,Alistipes finegoldii,Enterocloster bolteae,Veillonella rogosae,Streptococcus mitis,Clostridium bolteae CAG:59,Faecalibacterium prausnitzii,Prevotella bivia,Holdemania filiformis,Aeriscardovia aeriphila,Barnesiella intestinihominis,Roseburia faecis,Anaerostipes hadrus,Fusicatenibacter saccharivorans,Roseburia hominis,Ruminococcus bromii,Roseburia inulinivorans,Ruthenibacterium lactatiformans,Bilophila wadsworthia,Coprobacillus cateniformis,Enterocloster asparagiformis,Butyricimonas synergistica,Parabacteroides goldsteinii,Alistipes shahii,Butyricimonas virosa,Victivallis vadensis,Clostridium paraputrificum,Enterocloster lavalensis,Klebsiella michiganensis,Christensenella minuta,Collinsella intestinalis,Streptococcus parasanguinis,Lachnospira pectinoschiza,Eubacterium sp. CAG:180,Eubacterium sp. CAG:38,Dorea longicatena,Lachnospira eligens,Bacteroides galacturonicus,[Clostridium] symbiosum,Gemmiger formicilis,Coprobacter secundus,Blautia obeum,Lactobacillus rogosae,Adlercreutzia equolifaciens,Streptococcus lutetiensis,Enterococcus gallinarum,Enterococcus casseliflavus,Varibaculum cambriense,Citrobacter freundii,Atlantibacter hermannii,Prevotella copri,Prevotella buccae,Acinetobacter pittii,Roseburia sp. CAG:182,Klebsiella oxytoca,Actinomyces sp. ICM47,Blautia hansenii,Bacteroides xylanisolvens,Bacteroides thetaiotaomicron,Dialister invisus,Bacteroides stercoris,Enterocloster aldenensis,Anaerobutyricum hallii,Enterococcus faecalis,Klebsiella pneumoniae,Klebsiella variicola,Klebsiella quasipneumoniae,Gemella haemolysans,Citrobacter youngae,Streptococcus sp. SK643,Paraclostridium bifermentans,Proteobacteria bacterium CAG:139,Anaeroglobus geminatus,Limosilactobacillus mucosae,Turicimonas muris,Parasutterella excrementihominis,Schaalia turicensis,Actinomyces urogenitalis,Streptococcus salivarius,Ligilactobacillus ruminis,Staphylococcus epidermidis,Staphylococcus hominis,Peptostreptococcus anaerobius,Enorma massiliensis,Fusobacterium nucleatum,Slackia isoflavoniconvertens,Megasphaera elsdenii,Bacteroides faecis CAG:32,Phocaeicola plebeius,Lactobacillus paragasseri,Clostridium perfringens,Haemophilus haemolyticus,Blautia sp. CAG:257,Sellimonas intestinalis,Anaerostipes caccae,Bacteroides cellulosilyticus,Clostridium sp. D5,Clostridioides difficile,Gemella sanguinis,Schaalia odontolytica,Actinomyces naeslundii,[Ruminococcus] lactaris,Akkermansia muciniphila,Alistipes inops,Ruminococcus bicirculans,Odoribacter splanchnicus,Firmicutes bacterium CAG:83,Alistipes indistinctus,Firmicutes bacterium CAG:110,Bifidobacterium animalis,Intestinimonas butyriciproducens,Clostridium sp. CAG:58,Agathobaculum butyriciproducens,Enterocloster citroniae,[Eubacterium] siraeum,Bacteroides finegoldii,Coprococcus catus,Eubacterium ramulus,Ruminococcus callidus,Turicibacter sanguinis,Lawsonibacter asaccharolyticus,Holdemanella biformis,Ruminococcus obeum CAG:39,Eisenbergiella massiliensis,Veillonella tobetsuensis,Blautia producta,Firmicutes bacterium CAG:424,Butyricicoccus pullicaecorum,Firmicutes bacterium CAG:646,[Clostridium] spiroforme,Massilimicrobiota timonensis,Blautia coccoides,Streptococcus sp. A12,Clostridium butyricum,Enterococcus avium,Leuconostoc gelidum,Proteus mirabilis,Actinomyces sp. HPA0247,Haemophilus parahaemolyticus,Lachnoclostridium sp. An118,Eubacterium ventriosum,Roseburia sp. CAG:309,Lactobacillus acidophilus,[Clostridium] leptum,Oscillibacter sp. 57_20,Firmicutes bacterium CAG:145,Lactococcus lactis,Roseburia sp. CAG:471,Pseudoflavonifractor sp. An184,Streptococcus infantis,Eubacterium sp. CAG:274,Lachnospiraceae bacterium oral taxon 096,Streptococcus oralis,Citrobacter braakii,Prevotella corporis,Lactococcus raffinolactis,Citrobacter koseri,Haemophilus sputorum,Citrobacter farmeri,Prevotella disiens,Selenomonas artemidis,Eisenbergiella tayi,Actinomyces sp. HMSC035G02,Actinomyces oris,Selenomonas noxia,[Clostridium] scindens,Bacteroides sp. CAG:443,Bacteroides clarus,Dorea sp. CAG:317,Fusobacterium mortiferum,Streptococcus pasteurianus,Clostridium sp. CAG:167,Murimonas intestini,Hungatella effluvii,Dielma fastidiosa,Streptococcus australis,Anaeromassilibacillus sp. An250,Bifidobacterium catenulatum,Eubacterium sp. CAG:251,Prevotella sp. CAG:891,Desulfovibrio piger,Megamonas funiformis,Megamonas funiformis CAG:377,Firmicutes bacterium CAG:94,Megamonas hypermegale,Desulfovibrionaceae bacterium,Ruminococcaceae bacterium D16,Adlercreutzia caecimuris,Coprococcus eutactus,Eubacterium sp. OM08-24,Clostridium sp. CAG:299,Clostridium sp. CAG:242,Lacrimispora saccharolytica,Leuconostoc mesenteroides,Lachnoclostridium sp. An131,Streptococcus sanguinis,Corynebacterium argentoratense,Aggregatibacter aphrophilus,Lachnoclostridium sp. An138,Alistipes onderdonkii,Coprobacter fastidiosus,Enterococcus malodoratus,Terrisporobacter othiniensis,Bifidobacterium pseudolongum,Lachnoclostridium sp. An76,Allisonella histaminiformans,Clostridiales bacterium 1_7_47FAA,[Clostridium] methylpentosum,Oscillibacter sp. CAG:241,Propionibacterium freudenreichii,Denitrobacterium detoxificans,Streptococcus sp. F0442,Raoultella planticola,Actinomyces graevenitzii,Clostridium disporicum,Phocaeicola massiliensis,Phascolarctobacterium succinatutens,Blautia hydrogenotrophica,Sanguibacteroides justesenii,Atopobium minutum,Parvimonas sp. KA00067,Prevotella buccalis,Campylobacter hominis,Porphyromonas sp. HMSC065F10,Gemella morbillorum,Ezakiella coagulans,Monoglobus pectinilyticus,Streptococcus salivarius CAG:79,Campylobacter gracilis,Bacteroides eggerthii,Hungatella xylanolytica,Haemophilus paraphrohaemolyticus,Fusobacterium sp. CAG:439,Dialister pneumosintes,Haemophilus pittmaniae,Christensenella hongkongensis,Clostridiales bacterium CHKCI006,Lachnoclostridium sp. An181,Streptococcus vestibularis,Roseburia sp. CAG:303,Rothia dentocariosa,Sarcina ventriculi,Pediococcus acidilactici,Ligilactobacillus agilis,Limosilactobacillus fermentum,Anaerotignum lactatifermentans,Streptococcus peroris,Desulfovibrio fairfieldensis,Campylobacter showae,Robinsoniella sp. RHS,Actinomyces sp. oral taxon 181,Fusobacterium periodonticum,Faecalicatena orotica,Anaerotruncus sp. CAG:528,Citrobacter pasteurii,Solobacterium moorei,Campylobacter upsaliensis,Bacteroides nordii,Lactonifactor longoviformis,Acidaminococcus intestini,Tractidigestivibacter scatoligenes,Ligilactobacillus saerimneri,Morganella morganii,Limosilactobacillus oris,Peptostreptococcus stomatis,Proteus vulgaris,Paraprevotella xylaniphila,Leuconostoc pseudomesenteroides,Prevotella colorans,Bifidobacterium angulatum,Enterococcus durans,Paraprevotella clara,Escherichia marmotae,Streptococcus mutans,Firmicutes bacterium CAG:95,Lactobacillus delbrueckii,Prevotella sp. CAG:279,disease
PRJNA231909.3113393,0,0.02056,6.89005,5.68515,0.59294,0,0.00155,1.61271,0,1.10691,0.07596,0.16032,0.37913,0.04807,0,0.04484,4.77956,2.24052,0.05244,4.8518,0,0.16569,0.16252,5.01159,0.00599,0,0.02586,0.08585,0,0,0.15841,0,12.66284,0,0,0,0,0,0,0,0.00071,0,0.05108,0,0,0,0,0,0,0,0.00586,0,0,0,0,0.01464,0,0,0,0,0.00282,0,43.32408,4.87099,0,0,0,0,0.50518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05133,0,0.00633,0,0,0.00234,0,0,0,0,0,0,0,0,0.12979,0,0,0,0.03483,0,0,0,0.00214,0,0,0,0,0,0,0,0,0,0.00641,0.08446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,2.48426,0,0.01925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01792,0,0.03631,0,0,0,0,0,0,0,0,0,0,0,0.0142,0,0,0,0,0,0,0.00516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18438,0.22261,0.0774,0.02067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
PRJNA231909.3115615,3.70839,0.02982,16.14862,0.18324,0.05731,0.03077,1.56554,1.24515,0,0.08915,0,0.03221,0.12365,0.02118,0.0073,0,2.72265,4.68108,0.11694,0.00465,0.00729,0.08654,0,0.14821,0,0.03073,0,0.01106,0,0,0,0,10.67625,0,6.04527,0.14171,0,1.25805,0,0,0.00952,0,0,0.16919,0,3.20528,0,4.54254,0.0013,0.10586,3.47955,0,0.54779,0,0,0,0,7.50943,0,0,0,0,0,2.76352,2.00336,0.05017,3.1054,0,0.06657,0.0898,0.03569,0,0,0,0,0,0,0,0.03016,0,0,0,0,0.46556,0.44182,0.03962,0,1.40535,0,0.05596,0.36722,0,0,0,0.04843,0,0,0,0,0,0,0.0036,0,0,0,0,0,0,0.54307,0.46909,0.06022,0,0.00623,0.5154,0,0,0,0,0,0,0,0,0,0,0,0,0.11282,0,0,0.0144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06481,0.19476,0,10.48537,0,0,0,0,0,0,0,0,1.12882,0.67114,0,0,0,0,0.11939,0,0.26332,0.00819,0,4.46196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01394,0,0,0.03975,0,0,0,0,0,0,0,0.01946,0,0.37693,0,0,0,0,0.19529,0,0,0,0,0,0,0,0,0.01508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
PRJNA231909.3107345,0,0.02898,0.01044,0,0.96648,0,0,0,5.97131,0,0,0,0,0,0,0,0.00568,0.64355,0,6.36097,0.01323,0,0.12017,6.59225,0,0,0.00117,0,0,0,0,0,0.0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21607,77.33562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,0,0.0069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159,0,0,0,0,0,0,0,0,0,0,0,0.27526,0,0,0,0,0,0,0,0.0165,0,0,0,0,0,0,0,0,0.19944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16572,0,0.06098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T1D
PRJNA231909.3112358,0,13.18446,0.01665,1.77028,0,1.03144,0,0.93953,0,0.2657,0.09806,0.11069,0.6031,0.03076,0,0.0399,0,1.9842,0.06257,0.09382,0,0,0,0,0.00287,0,0.40227,0,0,0.06224,0,0,25.48512,0,0,0,0,0,0,0,10.28879,0,0,0,0,6.31325,0,0,0,0.08849,15.58533,0,0,1.60147,0,0,0,9.77333,0,0.0256,0,0,0,3.20884,0,0,0,1.11721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03488,0,0,0,0,0,0,1.05211,0,0,0,0,0,0.16488,0,0,0,0,0,0,0,0,0,0,0,0,0.00423,0,0,0,0.00991,0,0,0,0,0,0,0,0,0,0.14688,0,0,0.47299,3.36866,0,0,0.04434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01875,0,0,0,0.0097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02067,0,0,0,0.34789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T1D
PRJNA231909.3112359,6.27885,6.57929,0,1.06206,0.02254,0.39584,0,1.17678,0,0.52067,0.00547,0.11347,0.41449,0,0,0,0,2.84537,0.04413,0.02203,0.02249,0,0,0.00246,0,0,0,0,0,0.05937,0,0,30.89365,0,0,0,0,0,0,0,2.26211,0,0,0,0,9.26841,0,0,0,0.2345,22.71872,0,0,1.38296,0,0,0,3.66976,0,0.02555,0,0,0,3.17061,0,0,0,2.02446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00832,0,0,0,0,0,0,0.53786,0,0,0,0,0,0.10876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348,0,0,0,0,0,0,0,0,0,0.06572,0,0,0.18189,1.45336,0,0,0.0893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12247,0,0,0,0,0,0,0,0,1.57937,0,0,0,0,0,0,0,0.00107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212,0,0,0,0,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T1D
PRJNA231909.3112360,9.15063,3.50418,0,1.18606,0.04097,0.52601,0,1.06079,0,0.41919,0.07927,0.14032,0.36417,0.02723,0,0.00463,0,2.96288,0,0.06764,0.04016,0.00454,0,0.00681,0,0,0,0,0,0.10244,0,0,30.52087,0,0,0,0,0,0,0,4.6842,0,0,0,0,6.30577,13.30165,0,0,0.41501,5.12014,0,0,0.88197,0,0,0,4.11069,0,0.02776,0,0,0,2.61352,0,0.02325,0,3.17982,0.03039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81538,0,0,0,0,0,0.45729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04324,0,0,0.07043,1.1289,0,0,0.03612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12563,0,0,0,0,0,0,0,0,5.41904,0,0,0,0,0,0,0,0.37499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17956,0,0.01146,0,0,0,0,0.00752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T1D
PRJNA231909.3113831,0,0.02687,0.002,7.95058,0.11599,0.28985,0,2.64369,0,3.34906,1.02534,0.01574,0.08607,0.63906,0.0611,0.73976,0,2.44672,0.00304,0.0654,0.05173,0.04758,0,5.78309,0.01412,0,0.27354,0,0,0.04071,0.06487,0,0,0,0,0,0,0,0,0,0.00595,0,0,0,0,2.89358,0.01459,0,0,0.45083,37.5384,0,0,0.45492,0,0.02626,0,14.61172,0,0,0,0,0,9.36023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01349,0,0,0.3202,0,6.79519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14819,0,0.05543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02572,1.53344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T1D
PRJNA231909.3113834,0,15.838,0,4.85174,0.4953,0.37112,0,0.7251,0,1.13539,0.18762,0.15135,0.52988,0.18115,0.02214,0.09264,0,2.23629,0.05113,0.21381,0.00915,0,0,0.04241,0.02435,0,0,0,0,0.01032,0,0,9e-04,0,0,0,0,0,0,0,0,0,0,0,0,11.14048,0,0,0,0.13209,31.78785,0,0,0.44248,0,0,0,10.11531,0,0.00593,0,0,0,3.12227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74183,0,0,0,0,0,0.57834,0,0,0,0,0,1.43501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89728,0,0,0,0,0,0,0.00235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03284,0,0,0,0,0.08644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253,0,0,0,0.24105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T1D
PRJNA231909.3115067,0,7.63687,0.00507,6.10988,0.22918,0.32183,1.36418,0.4593,0,0,0.10527,0.14084,0.21229,0.07063,0,0.08408,0,0,0.06293,0.19565,0.03101,0.04504,0,0,0.01163,0,0.01558,0,0,0,0.34626,0,26.16431,0,0,0,0,0,0,0,4.3105,0,0,0,0,21.2705,0.00034,0,0,0.244,21.57103,0,0,0.43649,0,0.00683,0,4.59364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06986,0,0,0,0,0,0,0.171,0,0,0,0,0,1.20442,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64423,0,0.77157,0,0,0.00642,0,0,0,0,0,0,0,0,0,0,0,0.67699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0,0.0285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337,0,0,0,0,0,0,0,0.19549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T1D
PRJNA231909.3115068,0,7.08754,0,2.60175,0,0.59937,4.9269,1.85433,0,0,0,0.02585,1.47742,0,0,0,0,0,0.09887,0.03402,0.01294,0.05881,0.02534,0,0,0,0,0,0,0,0,0,27.05065,0,0,0,0,0,0,0,12.02764,0,0,0,0,4.37931,0,0,0,0.30601,10.44067,0,0,0.95393,0,0,0,6.08974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37873,0,0,0,0,0,0.01156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01345,0,0,0.01242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12994,0,16.94906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6224,0,0,0,0,0,0,0,0,0,0,0,0,0.08107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T1D
PRJNA231909.3115070,0,10.17521,0,3.71415,0,0.36549,7.61149,2.0206,0,0.04993,0.39228,0.13516,0.30982,0.09225,0,0.09144,0,0.00302,0.00923,0.61045,0.02324,0.07144,0,0,0.03183,0.01055,0.467,0,0,0,0,0,28.54885,0,0,0,0,0,0,0,10.74827,0,0,0,0,9.06179,0,0,0,0.3319,7.93254,0,0,0.44378,0,0,0,7.26229,0,0,0,0,0,0,0,0,0,0,0.09781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81589,0,0,0,0.24098,0,0,0,0,0,0.29131,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01395,0,0,0.10376,0.66378,0,0,0.03441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27754,0,2.91725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19472,0,0,0,0,0,0,0,0,0,0,0,0,0.11128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T1D
PRJNA231909.3108330,0.88,21.64626,11.50122,0.76522,0.01883,0.17171,1.30932,0.7564,0,0.39878,0,0.00548,0,0,0.03198,0,0.01723,2.88529,0.16056,0,0.02042,0.06771,0,0.14079,0,0,0,0.0092,0,0.00945,0,0,0.00323,0,0,0.4485,0,4.61423,0,0,1.369,0,0,0,0,6.84207,0,0,0,0,1.75472,0.01109,0,0.09841,0,0,0,5.39227,0,0,0,0,10.9473,0,0,0.13485,3.87105,0.29064,0,0.02147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03928,0,1.17693,0,0.58854,0,0.15038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77309,0,0,0,0,4.05061,0,0,0.0181,0,0,0,0,0,0,0,0,0,1.46112,0,0,0.0287,0.09046,0,0,0.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03602,0,0,0,0,0,0,0,1.57231,2.14992,0,1.93275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02336,0,0,0,0,0,0,0,0,8.29453,0.88584,0.02986,0.02638,0.02086,0.00821,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
